api	author	count	total
d3.ascending	mbostock	7	35
d3.ascending	zjonsson	2	35
d3.ascending	syntagmatic	1	35
d3.ascending	jasondavies	1	35
d3.ascending	biovisualize	1	35
d3.ascending	timelyportfolio	5	35
d3.ascending	herrstucki	4	35
d3.ascending	milroc	5	35
d3.ascending	enjalot	4	35
d3.ascending	hobbes7878	1	35
d3.ascending	dougdowson	1	35
d3.ascending	danharr	1	35
d3.ascending	seemantk	1	35
d3.ascending	jugglingnutcase	1	35
d3.behavior.drag	biovisualize	4	132
d3.behavior.drag	jasondavies	6	132
d3.behavior.drag	enjalot	66	132
d3.behavior.drag	mbostock	11	132
d3.behavior.drag	zjonsson	2	132
d3.behavior.drag	christophermanning	5	132
d3.behavior.drag	syntagmatic	16	132
d3.behavior.drag	vlandham	2	132
d3.behavior.drag	timelyportfolio	10	132
d3.behavior.drag	danharr	2	132
d3.behavior.drag	milroc	1	132
d3.behavior.drag	bollwyvl	2	132
d3.behavior.drag	jfsiii	1	132
d3.behavior.drag	tomgp	2	132
d3.behavior.drag	ramnathv	2	132
d3.behavior	jasondavies	10	205
d3.behavior	biovisualize	6	205
d3.behavior	enjalot	77	205
d3.behavior	mbostock	36	205
d3.behavior	zjonsson	4	205
d3.behavior	christophermanning	11	205
d3.behavior	vlandham	6	205
d3.behavior	syntagmatic	17	205
d3.behavior	sxv	2	205
d3.behavior	emeeks	5	205
d3.behavior	jeremybuis	3	205
d3.behavior	timelyportfolio	12	205
d3.behavior	danharr	2	205
d3.behavior	milroc	3	205
d3.behavior	bollwyvl	2	205
d3.behavior	NelsonMinar	1	205
d3.behavior	jfsiii	1	205
d3.behavior	herrstucki	1	205
d3.behavior	tomgp	2	205
d3.behavior	ramnathv	2	205
d3.behavior	iros	2	205
d3.behavior.zoom	jasondavies	5	86
d3.behavior.zoom	zjonsson	4	86
d3.behavior.zoom	christophermanning	9	86
d3.behavior.zoom	vlandham	4	86
d3.behavior.zoom	mbostock	27	86
d3.behavior.zoom	biovisualize	2	86
d3.behavior.zoom	syntagmatic	2	86
d3.behavior.zoom	enjalot	14	86
d3.behavior.zoom	sxv	2	86
d3.behavior.zoom	emeeks	5	86
d3.behavior.zoom	jeremybuis	3	86
d3.behavior.zoom	timelyportfolio	2	86
d3.behavior.zoom	milroc	3	86
d3.behavior.zoom	NelsonMinar	1	86
d3.behavior.zoom	herrstucki	1	86
d3.behavior.zoom	iros	2	86
d3.bisect	zjonsson	1	34
d3.bisect	syntagmatic	1	34
d3.bisect	mbostock	4	34
d3.bisect	jasondavies	1	34
d3.bisect	timelyportfolio	6	34
d3.bisect	milroc	3	34
d3.bisect	enjalot	18	34
d3.bisectLeft	zjonsson	1	5
d3.bisectLeft	syntagmatic	1	5
d3.bisectLeft	mbostock	1	5
d3.bisectLeft	jasondavies	1	5
d3.bisectLeft	milroc	1	5
d3.bisector	syntagmatic	1	15
d3.bisector	mbostock	4	15
d3.bisector	jasondavies	1	15
d3.bisector	timelyportfolio	6	15
d3.bisector	milroc	3	15
d3.bisectRight	zjonsson	1	5
d3.bisectRight	syntagmatic	1	5
d3.bisectRight	mbostock	1	5
d3.bisectRight	jasondavies	1	5
d3.bisectRight	milroc	1	5
d3.box	mbostock	1	4
d3.box	timelyportfolio	1	4
d3.box	milroc	2	4
d3.bullet	mbostock	1	3
d3.bullet	jasondavies	1	3
d3.bullet	timelyportfolio	1	3
d3.csv.format	syntagmatic	8	12
d3.csv.format	enjalot	4	12
d3.csv	mbostock	42	178
d3.csv	zjonsson	5	178
d3.csv	jasondavies	4	178
d3.csv	enjalot	14	178
d3.csv	syntagmatic	43	178
d3.csv	timelyportfolio	16	178
d3.csv	biovisualize	8	178
d3.csv	vlandham	2	178
d3.csv	emeeks	8	178
d3.csv	herrstucki	2	178
d3.csv	ramnathv	1	178
d3.csv	milroc	2	178
d3.csv	bollwyvl	3	178
d3.csv	jeremybuis	1	178
d3.csv	ckuijjer	6	178
d3.csv	tomgp	3	178
d3.csv	pcj	1	178
d3.csv	mpmckenna8	1	178
d3.csv	gelicia	1	178
d3.csv	dougdowson	7	178
d3.csv	danharr	5	178
d3.csv	MikeCostelloe	2	178
d3.csv	seemantk	1	178
d3.csv.parse	syntagmatic	3	13
d3.csv.parse	jasondavies	1	13
d3.csv.parse	zjonsson	1	13
d3.csv.parse	enjalot	1	13
d3.csv.parse	biovisualize	1	13
d3.csv.parse	timelyportfolio	2	13
d3.csv.parse	pcj	1	13
d3.csv.parse	bollwyvl	1	13
d3.csv.parse	danharr	2	13
d3.csv.parseRows	syntagmatic	1	6
d3.csv.parseRows	jasondavies	1	6
d3.csv.parseRows	timelyportfolio	1	6
d3.csv.parseRows	pcj	1	6
d3.csv.parseRows	bollwyvl	1	6
d3.csv.parseRows	danharr	1	6
d3.descending	syntagmatic	3	46
d3.descending	mbostock	8	46
d3.descending	enjalot	20	46
d3.descending	zjonsson	2	46
d3.descending	jasondavies	2	46
d3.descending	herrstucki	5	46
d3.descending	timelyportfolio	3	46
d3.descending	milroc	2	46
d3.descending	danharr	1	46
d3.dispatch	zjonsson	2	129
d3.dispatch	enjalot	100	129
d3.dispatch	syntagmatic	3	129
d3.dispatch	mbostock	2	129
d3.dispatch	emeeks	1	129
d3.dispatch	jasondavies	1	129
d3.dispatch	biovisualize	6	129
d3.dispatch	christophermanning	1	129
d3.dispatch	timelyportfolio	4	129
d3.dispatch	milroc	6	129
d3.dispatch	ramnathv	1	129
d3.dispatch	bollwyvl	1	129
d3.dispatch	danharr	1	129
d3.ease	zjonsson	1	53
d3.ease	enjalot	45	53
d3.ease	syntagmatic	2	53
d3.ease	mbostock	2	53
d3.ease	jasondavies	1	53
d3.ease	timelyportfolio	1	53
d3.ease	milroc	1	53
d3.entries	mbostock	14	40
d3.entries	jasondavies	2	40
d3.entries	zjonsson	3	40
d3.entries	syntagmatic	3	40
d3.entries	NelsonMinar	1	40
d3.entries	biovisualize	3	40
d3.entries	milroc	4	40
d3.entries	timelyportfolio	2	40
d3.entries	bollwyvl	3	40
d3.entries	tomgp	1	40
d3.entries	ckuijjer	1	40
d3.entries	pcj	1	40
d3.entries	danharr	1	40
d3.entries	gisminister	1	40
d3.event	mbostock	57	341
d3.event	jasondavies	13	341
d3.event	biovisualize	7	341
d3.event	NelsonMinar	1	341
d3.event	zjonsson	4	341
d3.event	enjalot	160	341
d3.event	christophermanning	14	341
d3.event	vlandham	6	341
d3.event	syntagmatic	19	341
d3.event	emeeks	5	341
d3.event	timelyportfolio	13	341
d3.event	jeremybuis	3	341
d3.event	milroc	12	341
d3.event	bollwyvl	5	341
d3.event	herrstucki	4	341
d3.event	jfsiii	1	341
d3.event	gelicia	3	341
d3.event	tomgp	5	341
d3.event	ramnathv	2	341
d3.event	dougdowson	3	341
d3.event	danharr	1	341
d3.event	seemantk	1	341
d3.event	iros	2	341
d3.extent	mbostock	35	209
d3.extent	jasondavies	2	209
d3.extent	zjonsson	4	209
d3.extent	syntagmatic	29	209
d3.extent	milroc	10	209
d3.extent	enjalot	65	209
d3.extent	biovisualize	6	209
d3.extent	vlandham	2	209
d3.extent	jugglingnutcase	1	209
d3.extent	emeeks	5	209
d3.extent	herrstucki	2	209
d3.extent	timelyportfolio	15	209
d3.extent	ramnathv	1	209
d3.extent	gelicia	13	209
d3.extent	jfsiii	1	209
d3.extent	jeremybuis	1	209
d3.extent	ckuijjer	4	209
d3.extent	tomgp	1	209
d3.extent	hobbes7878	1	209
d3.extent	bollwyvl	1	209
d3.extent	dougdowson	3	209
d3.extent	MikeCostelloe	2	209
d3.extent	seemantk	1	209
d3.extent	iros	4	209
d3.fisheye	mbostock	2	24
d3.fisheye	syntagmatic	3	24
d3.fisheye	enjalot	16	24
d3.fisheye	timelyportfolio	2	24
d3.fisheye	gelicia	1	24
d3.force_labels	zjonsson	2	2
d3.format	mbostock	39	161
d3.format	enjalot	34	161
d3.format	zjonsson	2	161
d3.format	jasondavies	3	161
d3.format	syntagmatic	4	161
d3.format	biovisualize	4	161
d3.format	timelyportfolio	29	161
d3.format	herrstucki	2	161
d3.format	jeremybuis	1	161
d3.format	milroc	19	161
d3.format	NelsonMinar	1	161
d3.format	jfsiii	2	161
d3.format	gelicia	2	161
d3.format	ckuijjer	2	161
d3.format	emeeks	1	161
d3.format	ramnathv	3	161
d3.format	hobbes7878	1	161
d3.format	vlandham	1	161
d3.format	dougdowson	4	161
d3.format	danharr	2	161
d3.format	MikeCostelloe	1	161
d3.format	seemantk	1	161
d3.format	jugglingnutcase	1	161
d3.format	iros	2	161
d3.formatPrefix	zjonsson	1	5
d3.formatPrefix	syntagmatic	1	5
d3.formatPrefix	mbostock	1	5
d3.formatPrefix	jasondavies	1	5
d3.formatPrefix	milroc	1	5
d3.functor	zjonsson	2	30
d3.functor	syntagmatic	2	30
d3.functor	biovisualize	1	30
d3.functor	mbostock	2	30
d3.functor	emeeks	1	30
d3.functor	jasondavies	1	30
d3.functor	timelyportfolio	6	30
d3.functor	herrstucki	1	30
d3.functor	milroc	9	30
d3.functor	jfsiii	1	30
d3.functor	dougdowson	1	30
d3.functor	danharr	1	30
d3.functor	iros	2	30
d3.geo.airy	mbostock	2	2
d3.geo.aitoff	mbostock	3	10
d3.geo.aitoff	syntagmatic	1	10
d3.geo.aitoff	jasondavies	2	10
d3.geo.aitoff	enjalot	1	10
d3.geo.aitoff	emeeks	2	10
d3.geo.aitoff	vlandham	1	10
d3.geo.albers	mbostock	49	95
d3.geo.albers	syntagmatic	4	95
d3.geo.albers	vlandham	3	95
d3.geo.albers	enjalot	10	95
d3.geo.albers	jasondavies	4	95
d3.geo.albers	christophermanning	3	95
d3.geo.albers	biovisualize	2	95
d3.geo.albers	emeeks	1	95
d3.geo.albers	herrstucki	2	95
d3.geo.albers	milroc	1	95
d3.geo.albers	gelicia	5	95
d3.geo.albers	ramnathv	2	95
d3.geo.albers	tomgp	3	95
d3.geo.albers	mpmckenna8	1	95
d3.geo.albers	timelyportfolio	1	95
d3.geo.albers	dougdowson	2	95
d3.geo.albers	iros	2	95
d3.geo.albersUsa	mbostock	35	58
d3.geo.albersUsa	vlandham	1	58
d3.geo.albersUsa	syntagmatic	1	58
d3.geo.albersUsa	jasondavies	1	58
d3.geo.albersUsa	milroc	1	58
d3.geo.albersUsa	enjalot	3	58
d3.geo.albersUsa	gelicia	5	58
d3.geo.albersUsa	christophermanning	1	58
d3.geo.albersUsa	ramnathv	2	58
d3.geo.albersUsa	tomgp	2	58
d3.geo.albersUsa	mpmckenna8	1	58
d3.geo.albersUsa	timelyportfolio	1	58
d3.geo.albersUsa	dougdowson	2	58
d3.geo.albersUsa	iros	2	58
d3.geo.armadillo	syntagmatic	1	2
d3.geo.armadillo	mbostock	1	2
d3.geo.august	syntagmatic	1	5
d3.geo.august	mbostock	2	5
d3.geo.august	emeeks	1	5
d3.geo.august	vlandham	1	5
d3.geo.azimuthalEqualArea	syntagmatic	1	10
d3.geo.azimuthalEqualArea	mbostock	4	10
d3.geo.azimuthalEqualArea	enjalot	1	10
d3.geo.azimuthalEqualArea	christophermanning	2	10
d3.geo.azimuthalEqualArea	jeremybuis	1	10
d3.geo.azimuthalEqualArea	jugglingnutcase	1	10
d3.geo.azimuthalEqualArea.raw	syntagmatic	1	1
d3.geo.azimuthalEquidistant	syntagmatic	1	12
d3.geo.azimuthalEquidistant	jasondavies	1	12
d3.geo.azimuthalEquidistant	mbostock	5	12
d3.geo.azimuthalEquidistant	enjalot	1	12
d3.geo.azimuthalEquidistant	christophermanning	2	12
d3.geo.azimuthalEquidistant	jeremybuis	1	12
d3.geo.azimuthalEquidistant	mpmckenna8	1	12
d3.geo.azimuthalEquidistant.raw	syntagmatic	1	1
d3.geo.baker	syntagmatic	1	4
d3.geo.baker	mbostock	2	4
d3.geo.baker	vlandham	1	4
d3.geo.berghaus	syntagmatic	1	3
d3.geo.berghaus	mbostock	1	3
d3.geo.berghaus	vlandham	1	3
d3.geo.boggs	syntagmatic	1	5
d3.geo.boggs	mbostock	3	5
d3.geo.boggs	vlandham	1	5
d3.geo.bonne	syntagmatic	3	13
d3.geo.bonne	mbostock	3	13
d3.geo.bonne	jasondavies	3	13
d3.geo.bonne	enjalot	1	13
d3.geo.bonne	emeeks	1	13
d3.geo.bonne	milroc	1	13
d3.geo.bonne	vlandham	1	13
d3.geo.bounds	jasondavies	2	10
d3.geo.bounds	syntagmatic	2	10
d3.geo.bounds	mbostock	3	10
d3.geo.bounds	biovisualize	2	10
d3.geo.bounds	milroc	1	10
d3.geo.bromley	syntagmatic	1	4
d3.geo.bromley	mbostock	2	4
d3.geo.bromley	vlandham	1	4
d3.geo.centroid	mbostock	1	2
d3.geo.centroid	herrstucki	1	2
d3.geo.chamberlin	mbostock	1	1
d3.geo.circle	mbostock	11	19
d3.geo.circle	biovisualize	1	19
d3.geo.circle	syntagmatic	3	19
d3.geo.circle	jasondavies	2	19
d3.geo.circle	enjalot	1	19
d3.geo.circle	milroc	1	19
d3.geo.clipExtent	mbostock	5	5
d3.geo.collignon	syntagmatic	1	8
d3.geo.collignon	mbostock	2	8
d3.geo.collignon	jasondavies	2	8
d3.geo.collignon	enjalot	1	8
d3.geo.collignon	emeeks	1	8
d3.geo.collignon	vlandham	1	8
d3.geo.conicConformal	syntagmatic	1	12
d3.geo.conicConformal	mbostock	7	12
d3.geo.conicConformal	christophermanning	2	12
d3.geo.conicConformal	enjalot	2	12
d3.geo.conicEqualArea	mbostock	6	8
d3.geo.conicEqualArea	christophermanning	2	8
d3.geo.conicEqualArea.raw	mbostock	1	1
d3.geo.conicEquidistant	syntagmatic	1	4
d3.geo.conicEquidistant	mbostock	1	4
d3.geo.conicEquidistant	christophermanning	2	4
d3.geo.craig	syntagmatic	1	4
d3.geo.craig	mbostock	2	4
d3.geo.craig	enjalot	1	4
d3.geo.craster	syntagmatic	1	4
d3.geo.craster	mbostock	2	4
d3.geo.craster	vlandham	1	4
d3.geo.cylindricalEqualArea	syntagmatic	1	12
d3.geo.cylindricalEqualArea	mbostock	5	12
d3.geo.cylindricalEqualArea	jasondavies	2	12
d3.geo.cylindricalEqualArea	enjalot	2	12
d3.geo.cylindricalEqualArea	emeeks	1	12
d3.geo.cylindricalEqualArea	vlandham	1	12
d3.geo.cylindricalStereographic	mbostock	1	2
d3.geo.cylindricalStereographic	vlandham	1	2
d3.geo.eckert1	syntagmatic	1	8
d3.geo.eckert1	mbostock	2	8
d3.geo.eckert1	jasondavies	2	8
d3.geo.eckert1	enjalot	1	8
d3.geo.eckert1	emeeks	1	8
d3.geo.eckert1	vlandham	1	8
d3.geo.eckert2	syntagmatic	1	8
d3.geo.eckert2	mbostock	2	8
d3.geo.eckert2	jasondavies	2	8
d3.geo.eckert2	enjalot	1	8
d3.geo.eckert2	emeeks	1	8
d3.geo.eckert2	vlandham	1	8
d3.geo.eckert3	syntagmatic	1	8
d3.geo.eckert3	mbostock	2	8
d3.geo.eckert3	jasondavies	2	8
d3.geo.eckert3	enjalot	1	8
d3.geo.eckert3	emeeks	1	8
d3.geo.eckert3	vlandham	1	8
d3.geo.eckert4	syntagmatic	1	8
d3.geo.eckert4	mbostock	2	8
d3.geo.eckert4	jasondavies	2	8
d3.geo.eckert4	enjalot	1	8
d3.geo.eckert4	emeeks	1	8
d3.geo.eckert4	vlandham	1	8
d3.geo.eckert5	syntagmatic	1	8
d3.geo.eckert5	mbostock	2	8
d3.geo.eckert5	jasondavies	2	8
d3.geo.eckert5	enjalot	1	8
d3.geo.eckert5	emeeks	1	8
d3.geo.eckert5	vlandham	1	8
d3.geo.eckert6	syntagmatic	1	8
d3.geo.eckert6	mbostock	2	8
d3.geo.eckert6	jasondavies	2	8
d3.geo.eckert6	enjalot	1	8
d3.geo.eckert6	emeeks	1	8
d3.geo.eckert6	vlandham	1	8
d3.geo.eisenlohr	syntagmatic	1	5
d3.geo.eisenlohr	mbostock	2	5
d3.geo.eisenlohr	emeeks	1	5
d3.geo.eisenlohr	vlandham	1	5
d3.geo.equirectangular	syntagmatic	4	30
d3.geo.equirectangular	enjalot	3	30
d3.geo.equirectangular	mbostock	13	30
d3.geo.equirectangular	jasondavies	5	30
d3.geo.equirectangular	christophermanning	2	30
d3.geo.equirectangular	emeeks	1	30
d3.geo.equirectangular	milroc	1	30
d3.geo.equirectangular	vlandham	1	30
d3.geo.fahey	mbostock	1	2
d3.geo.fahey	vlandham	1	2
d3.geo.ginzburg4	mbostock	1	2
d3.geo.ginzburg4	vlandham	1	2
d3.geo.ginzburg5	mbostock	1	2
d3.geo.ginzburg5	vlandham	1	2
d3.geo.ginzburg6	mbostock	1	2
d3.geo.ginzburg6	vlandham	1	2
d3.geo.ginzburg8	mbostock	1	2
d3.geo.ginzburg8	vlandham	1	2
d3.geo.ginzburg9	mbostock	1	2
d3.geo.ginzburg9	vlandham	1	2
d3.geo.gnomonic	syntagmatic	1	7
d3.geo.gnomonic	mbostock	2	7
d3.geo.gnomonic	christophermanning	2	7
d3.geo.gnomonic	jeremybuis	1	7
d3.geo.gnomonic	mpmckenna8	1	7
d3.geo.graticule	mbostock	135	195
d3.geo.graticule	syntagmatic	10	195
d3.geo.graticule	enjalot	16	195
d3.geo.graticule	jasondavies	19	195
d3.geo.graticule	vlandham	2	195
d3.geo.graticule	emeeks	5	195
d3.geo.graticule	biovisualize	2	195
d3.geo.graticule	jeremybuis	2	195
d3.geo.graticule	tomgp	1	195
d3.geo.graticule	mpmckenna8	3	195
d3.geo.gringorten	syntagmatic	1	4
d3.geo.gringorten	jasondavies	1	4
d3.geo.gringorten	mbostock	1	4
d3.geo.gringorten	vlandham	1	4
d3.geo.guyou	syntagmatic	1	6
d3.geo.guyou	jasondavies	3	6
d3.geo.guyou	mbostock	1	6
d3.geo.guyou	vlandham	1	6
d3.geo.hammer	syntagmatic	1	14
d3.geo.hammer	mbostock	6	14
d3.geo.hammer	jasondavies	3	14
d3.geo.hammer	enjalot	2	14
d3.geo.hammer	emeeks	1	14
d3.geo.hammer	vlandham	1	14
d3.geo.hammerRetroazimuthal	syntagmatic	1	4
d3.geo.hammerRetroazimuthal	mbostock	1	4
d3.geo.hammerRetroazimuthal	enjalot	1	4
d3.geo.hammerRetroazimuthal	vlandham	1	4
d3.geo.healpix	syntagmatic	1	3
d3.geo.healpix	mbostock	1	3
d3.geo.healpix	vlandham	1	3
d3.geo.hill	syntagmatic	1	5
d3.geo.hill	mbostock	3	5
d3.geo.hill	vlandham	1	5
d3.geo.homolosine	syntagmatic	1	10
d3.geo.homolosine	mbostock	3	10
d3.geo.homolosine	jasondavies	3	10
d3.geo.homolosine	enjalot	1	10
d3.geo.homolosine	emeeks	1	10
d3.geo.homolosine	vlandham	1	10
d3.geo.interpolate	jeremybuis	1	2
d3.geo.interpolate	mbostock	1	2
d3.geo	mbostock	312	564
d3.geo	jasondavies	30	564
d3.geo	enjalot	97	564
d3.geo	christophermanning	10	564
d3.geo	zjonsson	6	564
d3.geo	vlandham	8	564
d3.geo	syntagmatic	21	564
d3.geo	biovisualize	4	564
d3.geo	NelsonMinar	5	564
d3.geo	herrstucki	7	564
d3.geo	emeeks	9	564
d3.geo	sxv	2	564
d3.geo	jeremybuis	6	564
d3.geo	timelyportfolio	7	564
d3.geo	mpmckenna8	9	564
d3.geo	milroc	8	564
d3.geo	gelicia	8	564
d3.geo	tomgp	4	564
d3.geo	jugglingnutcase	1	564
d3.geo	ramnathv	2	564
d3.geo	dougdowson	2	564
d3.geo	iros	6	564
d3.geo.kavrayskiy7	mbostock	6	16
d3.geo.kavrayskiy7	syntagmatic	1	16
d3.geo.kavrayskiy7	jasondavies	3	16
d3.geo.kavrayskiy7	enjalot	2	16
d3.geo.kavrayskiy7	emeeks	1	16
d3.geo.kavrayskiy7	tomgp	1	16
d3.geo.kavrayskiy7	mpmckenna8	1	16
d3.geo.kavrayskiy7	vlandham	1	16
d3.geo.lagrange	syntagmatic	1	5
d3.geo.lagrange	mbostock	2	5
d3.geo.lagrange	emeeks	1	5
d3.geo.lagrange	vlandham	1	5
d3.geo.larrivee	syntagmatic	1	9
d3.geo.larrivee	mbostock	3	9
d3.geo.larrivee	jasondavies	2	9
d3.geo.larrivee	enjalot	1	9
d3.geo.larrivee	emeeks	1	9
d3.geo.larrivee	vlandham	1	9
d3.geo.laskowski	syntagmatic	1	4
d3.geo.laskowski	mbostock	2	4
d3.geo.laskowski	vlandham	1	4
d3.geo.littrow	syntagmatic	1	2
d3.geo.littrow	mbostock	1	2
d3.geo.loximuthal	syntagmatic	1	4
d3.geo.loximuthal	mbostock	2	4
d3.geo.loximuthal	vlandham	1	4
d3.geo.mercator	mbostock	27	90
d3.geo.mercator	jasondavies	6	90
d3.geo.mercator	vlandham	3	90
d3.geo.mercator	syntagmatic	5	90
d3.geo.mercator	christophermanning	5	90
d3.geo.mercator	biovisualize	1	90
d3.geo.mercator	enjalot	23	90
d3.geo.mercator	NelsonMinar	2	90
d3.geo.mercator	emeeks	3	90
d3.geo.mercator	zjonsson	1	90
d3.geo.mercator	jeremybuis	3	90
d3.geo.mercator	milroc	1	90
d3.geo.mercator	gelicia	3	90
d3.geo.mercator	ramnathv	1	90
d3.geo.mercator	mpmckenna8	2	90
d3.geo.mercator	iros	4	90
d3.geo.miller	syntagmatic	1	8
d3.geo.miller	mbostock	2	8
d3.geo.miller	jasondavies	2	8
d3.geo.miller	enjalot	1	8
d3.geo.miller	emeeks	1	8
d3.geo.miller	vlandham	1	8
d3.geo.mollweide	syntagmatic	2	13
d3.geo.mollweide	mbostock	5	13
d3.geo.mollweide	jasondavies	3	13
d3.geo.mollweide	enjalot	1	13
d3.geo.mollweide	emeeks	1	13
d3.geo.mollweide	vlandham	1	13
d3.geo.mtFlatPolarParabolic	syntagmatic	1	4
d3.geo.mtFlatPolarParabolic	mbostock	2	4
d3.geo.mtFlatPolarParabolic	vlandham	1	4
d3.geo.mtFlatPolarQuartic	syntagmatic	1	4
d3.geo.mtFlatPolarQuartic	mbostock	2	4
d3.geo.mtFlatPolarQuartic	vlandham	1	4
d3.geo.mtFlatPolarSinusoidal	syntagmatic	1	4
d3.geo.mtFlatPolarSinusoidal	mbostock	2	4
d3.geo.mtFlatPolarSinusoidal	vlandham	1	4
d3.geo.naturalEarth	syntagmatic	1	5
d3.geo.naturalEarth	mbostock	3	5
d3.geo.naturalEarth	vlandham	1	5
d3.geo.nellHammer	syntagmatic	1	8
d3.geo.nellHammer	mbostock	2	8
d3.geo.nellHammer	jasondavies	2	8
d3.geo.nellHammer	enjalot	1	8
d3.geo.nellHammer	emeeks	1	8
d3.geo.nellHammer	vlandham	1	8
d3.geo.orthographic	mbostock	17	35
d3.geo.orthographic	enjalot	7	35
d3.geo.orthographic	jasondavies	4	35
d3.geo.orthographic	christophermanning	2	35
d3.geo.orthographic	jeremybuis	3	35
d3.geo.orthographic	syntagmatic	1	35
d3.geo.orthographic	vlandham	1	35
d3.geo.path	mbostock	257	423
d3.geo.path	jasondavies	28	423
d3.geo.path	vlandham	7	423
d3.geo.path	syntagmatic	15	423
d3.geo.path	christophermanning	5	423
d3.geo.path	biovisualize	4	423
d3.geo.path	zjonsson	3	423
d3.geo.path	enjalot	43	423
d3.geo.path	herrstucki	4	423
d3.geo.path	emeeks	8	423
d3.geo.path	jeremybuis	5	423
d3.geo.path	timelyportfolio	5	423
d3.geo.path	mpmckenna8	8	423
d3.geo.path	milroc	4	423
d3.geo.path	NelsonMinar	4	423
d3.geo.path	gelicia	8	423
d3.geo.path	tomgp	4	423
d3.geo.path	jugglingnutcase	1	423
d3.geo.path	ramnathv	2	423
d3.geo.path	dougdowson	2	423
d3.geo.path	iros	6	423
d3.geo.peirceQuincuncial	syntagmatic	1	2
d3.geo.peirceQuincuncial	mbostock	1	2
d3.geo.polyconic	syntagmatic	1	8
d3.geo.polyconic	mbostock	2	8
d3.geo.polyconic	jasondavies	2	8
d3.geo.polyconic	enjalot	1	8
d3.geo.polyconic	emeeks	1	8
d3.geo.polyconic	vlandham	1	8
d3.geo.polyhedron.butterfly	mbostock	1	1
d3.geo.polyhedron	mbostock	3	5
d3.geo.polyhedron	syntagmatic	1	5
d3.geo.polyhedron	vlandham	1	5
d3.geo.polyhedron.waterman	mbostock	2	4
d3.geo.polyhedron.waterman	syntagmatic	1	4
d3.geo.polyhedron.waterman	vlandham	1	4
d3.geo.projection	mbostock	98	118
d3.geo.projection	syntagmatic	4	118
d3.geo.projection	jasondavies	6	118
d3.geo.projection	emeeks	5	118
d3.geo.projection	tomgp	1	118
d3.geo.projection	enjalot	2	118
d3.geo.projection	mpmckenna8	1	118
d3.geo.projection	vlandham	1	118
d3.geo.projectionMutator	syntagmatic	1	1
d3.geo.rectangularPolyconic	mbostock	1	2
d3.geo.rectangularPolyconic	vlandham	1	2
d3.geo.robinson	mbostock	2	8
d3.geo.robinson	syntagmatic	1	8
d3.geo.robinson	jasondavies	2	8
d3.geo.robinson	enjalot	1	8
d3.geo.robinson	emeeks	1	8
d3.geo.robinson	vlandham	1	8
d3.geo.rotation	mbostock	1	1
d3.geo.satellite	syntagmatic	2	9
d3.geo.satellite	mbostock	2	9
d3.geo.satellite	vlandham	1	9
d3.geo.satellite	emeeks	2	9
d3.geo.satellite	enjalot	2	9
d3.geo.sinuMollweide	syntagmatic	1	5
d3.geo.sinuMollweide	mbostock	3	5
d3.geo.sinuMollweide	vlandham	1	5
d3.geo.sinusoidal	syntagmatic	1	10
d3.geo.sinusoidal	mbostock	3	10
d3.geo.sinusoidal	jasondavies	3	10
d3.geo.sinusoidal	enjalot	1	10
d3.geo.sinusoidal	emeeks	1	10
d3.geo.sinusoidal	vlandham	1	10
d3.geo.stereographic	syntagmatic	1	8
d3.geo.stereographic	mbostock	2	8
d3.geo.stereographic	jasondavies	1	8
d3.geo.stereographic	christophermanning	2	8
d3.geo.stereographic	jeremybuis	1	8
d3.geo.stereographic	vlandham	1	8
d3.geo.stream	syntagmatic	1	1
d3.geo.tile	mbostock	9	15
d3.geo.tile	NelsonMinar	2	15
d3.geo.tile	jeremybuis	2	15
d3.geo.tile	vlandham	1	15
d3.geo.tile	emeeks	1	15
d3.geo.times	mbostock	1	3
d3.geo.times	syntagmatic	1	3
d3.geo.times	vlandham	1	3
d3.geo.transform	mbostock	11	11
d3.geo.transverseMercator	christophermanning	2	5
d3.geo.transverseMercator	mbostock	3	5
d3.geo.twoPointEquidistant	mbostock	2	2
d3.geo.vanDerGrinten	syntagmatic	1	13
d3.geo.vanDerGrinten	mbostock	6	13
d3.geo.vanDerGrinten	jasondavies	2	13
d3.geo.vanDerGrinten	enjalot	1	13
d3.geo.vanDerGrinten	emeeks	2	13
d3.geo.vanDerGrinten	vlandham	1	13
d3.geo.vanDerGrinten2	mbostock	1	2
d3.geo.vanDerGrinten2	vlandham	1	2
d3.geo.vanDerGrinten3	mbostock	1	2
d3.geo.vanDerGrinten3	vlandham	1	2
d3.geo.vanDerGrinten4	syntagmatic	1	5
d3.geo.vanDerGrinten4	mbostock	2	5
d3.geo.vanDerGrinten4	emeeks	1	5
d3.geo.vanDerGrinten4	vlandham	1	5
d3.geo.wagner4	syntagmatic	1	4
d3.geo.wagner4	mbostock	2	4
d3.geo.wagner4	vlandham	1	4
d3.geo.wagner6	mbostock	2	8
d3.geo.wagner6	syntagmatic	1	8
d3.geo.wagner6	jasondavies	2	8
d3.geo.wagner6	enjalot	1	8
d3.geo.wagner6	emeeks	1	8
d3.geo.wagner6	vlandham	1	8
d3.geo.wagner7	syntagmatic	1	4
d3.geo.wagner7	mbostock	2	4
d3.geo.wagner7	vlandham	1	4
d3.geo.wiechel	syntagmatic	1	2
d3.geo.wiechel	mbostock	1	2
d3.geo.winkel3	mbostock	4	10
d3.geo.winkel3	syntagmatic	1	10
